id;title;year;rate;release_date;runtime;genre;director;writers;actors;plot;language;country;awards;poster_link;ratings;metascore;imdb_rating;imdb_votes;imdb_id;type;dvd_release_date;box_office
1;Checking Account parsing;54427;Facilitator quantify deposit;2020-07-13;32877;Ball;Tasty Concrete Gloves e-business;Zimbabwe Honduras;Baby User-centric Mobility;Borders service-desk;Checking Account Rand Loti virtual;Saint Kitts and Nevis;Plastic Fish Avon;Designer invoice;Optional Cross-group Savings Account;27246;76293;3127;Investment Account Fully-configurable Bacon;Tanzanian Shilling Small Frozen Shirt;2020-07-13;89658
2;pixel Senior bus;14282;help-desk Orchestrator system;2020-07-12;34240;solutions;Cambridgeshire Directives;Brooks Agent Bermudian Dollar (customarily known as Bermuda Dollar);application Cotton programming;didactic leading-edge Cotton;Grocery;Iceland;Taka Refined;Denmark;PCI Ergonomic;63697;98136;45597;Throughway;Direct;2020-07-13;12069
3;Supervisor instruction set;25732;dynamic Coordinator function;2020-07-13;83598;Gorgeous;Auto Loan Account;Buckinghamshire bandwidth;Accounts enterprise migration;hack GB bleeding-edge;solid state Pizza;Liechtenstein;AGP Chips metrics;index;Implemented;86562;50352;32042;channels Executive;Lights invoice;2020-07-13;98825
4;Trail Quality Practical Concrete Shoes;75681;Street Kyat Avon;2020-07-13;24932;PCI;Shirt virtual;exploit;Fresh orange grid-enabled;Belarussian Ruble Unbranded Frozen Chicken haptic;EXE Corners;Martinique;Tasty installation Engineer;Saudi Riyal Squares Granite;withdrawal Awesome Cotton Ball payment;36466;8931;3191;Salad;Executive International portal;2020-07-12;71982
5;Expanded Pants Direct;97354;indexing;2020-07-12;2446;Steel;B2B Auto Loan Account;application Unbranded;deposit Pants hacking;Senior cyan Fantastic;copy core IB;Solomon Islands;Roads innovate;bypass internet solution;hack Tasty Rubber Gloves Shores;91853;97816;62829;Music;Sausages Rwanda Franc solid state;2020-07-13;25235
6;Soap Configuration;24568;Money Market Account;2020-07-13;12519;Regional adapter Borders;Investment Account protocol Adaptive;Refined;auxiliary synergies Sleek;Berkshire;tan Chile Granite;Portugal;Stravenue Unbranded GB;Architect Auto Loan Account protocol;Lead;3267;6992;35807;Intelligent Rubber Computer;optimize;2020-07-13;46252
7;Industrial AGP;80729;Zimbabwe Dollar wireless;2020-07-12;42240;dot-com action-items Summit;content;Berkshire;Metal Future;index models Steel;Computers;Gibraltar;National Junctions Communications;Specialist salmon didactic;Liaison;81170;73852;78827;Gorgeous;facilitate teal Liaison;2020-07-12;29247
8;rich hard drive Throughway;78099;Home open architecture Liberian Dollar;2020-07-13;81099;Place Fantastic Steel Table;Kansas transmit;Table white Division;Berkshire navigating;Dynamic solid state;invoice microchip;Uganda;compressing programming Research;Ergonomic Cotton Chair Mouse;Borders;87366;40631;57407;Zimbabwe Handcrafted;Officer Toys auxiliary;2020-07-13;93440
9;Naira Bedfordshire;44595;brand neural;2020-07-12;46800;Dynamic port;card input Sleek;Central Throughway;Checking Account cyan;web-enabled;Unbranded;Botswana;parsing;back up Trail markets;user-centric;55695;3865;61429;deposit Kwanza Granite;calculate methodology Hat;2020-07-13;79706
10;generate Legacy;19966;Handcrafted;2020-07-13;93427;withdrawal;Games content TCP;pixel;calculate;Bridge calculating;strategize Nauru Metal;Chile;reinvent Money Market Account Awesome;bypass;Business-focused;38493;39296;22204;Future Synergized;circuit;2020-07-13;78907
